District,Constituency,Population,Voters,Male_Voters,Female_Voters
Attock,NA-57 Attock I,500770,358211,197016,161195
Attock,NA-58 Attock II,424053,359058,193891,165166
Attock,NA-59 Attock III,350112,309334,170133,139200
Bahawalnagar,NA-188 Bahawalnager-I,505073,289582,152892,136690
Bahawalnagar,NA-189 Bahawalnager-II,515141,271965,145934,126031
Bahawalnagar,NA-190 Bahawalnager-III,516137,281254,148704,132550
Bahawalnagar,NA-191 Bahawalnager-IV,525096,303421,160744,142677
BAHAWALPUR,NA-183 Bahawalpur-I,479514,271891,142923,128968
BAHAWALPUR,NA-184 Bahawalpur-II,487057,277578,146544,131034
BAHAWALPUR,NA-185 Bahawalpur-III,527350,274790,144729,130061
BAHAWALPUR,NA-186 Bahawalpur-IV,502427,287829,151755,136074
BAHAWALPUR,NA-187 Bahawalpur-V,436743,264580,142574,122006
BHAKKAR,NA-73 Bhakkar-I,506524,336765,188588,148176
BHAKKAR,NA-74 Bhakkar-II,544932,375159,210089,165069
CHAKWAL,NA-60 Chakwal-I,563389,486070,252756,233313
CHAKWAL,NA-61 Chakwal-II,520336,443677,235148,208529
DERA GHAZI KHAN,NA-171 D.G khan-I,540307,314919,169669,145249
DERA GHAZI KHAN,NA-172 D.G Khan-II,531284,305066,164074,140992
DERA GHAZI KHAN,NA-173 D.G Khan-III,571527,282633,153357,129276
FAISALABAD,NA-75 Faisalabad-I,488244,321768,186625,135142
FAISALABAD,NA-76 Faisalabad-II,486930,329266,184388,144877
FAISALABAD,NA-77 Faisalabad-III,455863,301973,172124,129848
FAISALABAD,NA-78 Faisalabad-IV,509572,301973,162507,129848
FAISALABAD,NA-79 Faisalabad-V,508637,335868,191445,144423
FAISALABAD,NA-80 Faisalabad-VI,481942,343634,192435,151199
FAISALABAD,NA-81 Faisalabad-VII,489498,344031,196097,147933
FAISALABAD,NA-82 Faisalabad-VIII,514021,343634,144492,121646
FAISALABAD,NA-83 Faisalabad-IX,514248,368371,202604,165767
FAISALABAD,NA-84 Faisalabad-X,467960,283212,143397,119815
GUJRANWALA,NA-95 Gujranawala-I,467610,318739,184868,133870
GUJRANWALA,NA-96 Gujranawala-II,459800,303568,173033,130534
GUJRANWALA,NA-97 Gujranawala-III,490873,328632,187320,141311
GUJRANWALA,NA-98 Gujranawala-IV,492279,363205,210568,152546
GUJRANWALA,NA-99 Gujranawala-V,494483,318029,150129,134063
GUJRANWALA,NA-100 Gujranawala-VI,486910,288271,184493,103777
GUJRANWALA,NA-101 Gujranawala-VII,508985,352057,190110,161946
GUJRAT,NA-104 Gujrat-I,498326,374975,209986,164989
GUJRAT,NA-105 Gujrat-II,505853,394059,220673,173385
GUJRAT,NA-106 Gujrat-III,523836,413566,231596,181969
GUJRAT,NA-107 Gujrat-IV,519993,400622,220342,180279
HAFIZABAD,NA-102 Hafizabad-I,421125,284417,162117,122299
HAFIZABAD,NA-103 Hafizabad-II,411855,259256,150368,108887
JHANG,NA-86 Jhang-I,469392,289317,162017,127299
JHANG,NA-87 Jhang-II,463956,367617,205865,161751
JHANG,NA-88 Jhang-III,564059,277976,155666,122309
JHANG,NA-89 Jhang-IV,428290,290555,159805,130749
JHANG,NA-90 Jhang-V,417295,238856,140925,97931
JHANG,NA-91 Jhang-VI,491623,279042,161844,117198
JHELUM,NA-62 Jhelum-I,460188,386557,208740,177816
JHELUM,NA-63 Jhelum-II,476769,386557,208740,177817
KASUR,NA-153 -Multan-VI,472757,349714,181852,167862
KASUR,NA-154 -Lodhran-I,469889,350801,192941,157860
KASUR,NA-155 -Lodhran-II,482064,356995,203487,153508
KASUR,NA-156 - Khanewal-I,476710,314492,176115,138376
KASUR,NA-157 -Khanewa-II,474455,334495,190662,143833
KHANEWAL,NA-156 Khanewal-I,512808,291062,152814,138248
KHANEWAL,NA-157 Khanewal-II,531650,303984,160168,143816
KHANEWAL,NA-158 Khanewal-III,507177,291275,153728,137547
KHANEWAL,NA-159 Khanewal-IV,516855,297622,157150,140472
KHUSHAB,NA-69 Khushab-I,451584,336551,181737,154813
KHUSHAB,NA-70 Khushab-II,454127,343920,189156,154764
LAHORE,NA-134 Sheikhupura-Ip,475624,250183,150110,100073
LAHORE,NA-135 -Shiekhupura-V,517597,285289,168321,116968
LAHORE,NA-136 -Sheikhupura-VI,456960,285603,165650,119953
LAHORE,NA-137 -Sheikhupura-VII,508755,285603,162794,122809
LAHORE,NA-138 -Kasur-I,533949,287484,169616,117868
LAHORE,NA-139 -Kasur-II,493942,301506,174873,126633
LAHORE,NA-140 Kasur-III,467765,301506,174873,126633
LAHORE,NA-141 -Kasur-IV,565751,309577,137655,133118
LAHORE,NA-142 -Kasur-V,471680,278336,161435,116901
LAHORE,NA-143 -Okara-I,450758,272742,152736,120006
LAYYAH,NA-181 Layyah-I,529909,275756,148453,127303
LAYYAH,NA-182 Layyah-II,591042,305562,162718,142844
LODHRAN,NA-169 Vehari - III,582642,321145,183053,138092
LODHRAN,NA-155 Lodhran-II,589158,328518,172679,155839
MANDI BAHAUDDIN,NA-108 Mandi Bahauddin,592177,429881,245032,184849
MANDI BAHAUDDIN,NA-109 Mandi Bahauddin-II,568375,384637,230782,153855
MIANWALI,NA-71 Mianwali-I,510911,386930,208942,177987
MIANWALI,NA-72 Mianwali-II,545709,372800,205040,167760
MULTAN,NA-163 -Sahiwal-IV,521416,276191,157429,118762
MULTAN,NA-164 -Pakpatan-I,537801,260811,143446,117365
